Location,Region,Subregion,Rate,Count,Year
Afghanistan,Asia,Southern Asia,6,2474,2018
Albania,Europe,Southern Europe,2,61,2020
Algeria,Africa,Northern Africa,1,580,2020
Andorra,Europe,Southern Europe,2,2,2020
Angola,Africa,Middle Africa,4,1217,2012
Anguilla,N/S Americas,Caribbean,28,4,2014
Antigua and Barbuda,N/S Americas,Caribbean,9,9,2020
Argentina,N/S Americas,South America,5,2416,2020
Armenia,Asia,Western Asia,1,52,2020
Aruba,N/S Americas,Caribbean,1,2,2014
Australia,Oceania,"Australia, New Zealand",0,221,2020
Austria,Europe,Western Europe,0,65,2020
Azerbaijan,Asia,Western Asia,2,230,2020
Bahamas,N/S Americas,Caribbean,18,73,2020
Bahrain,Asia,Western Asia,0,2,2019
Bangladesh,Asia,Southern Asia,2,3830,2018
Barbados,N/S Americas,Caribbean,14,41,2020
Belarus,Europe,Eastern Europe,2,225,2019
Belgium,Europe,Western Europe,1,193,2017
Belize,N/S Americas,Central America,25,102,2020
Benin,Africa,Western Africa,1,126,2017
Bermuda,N/S Americas,Northern America,0,0,2019
Bhutan,Asia,Southern Asia,2,19,2020
Bolivia,N/S Americas,South America,7,806,2019
Bosnia and Herzegovina,Europe,Southern Europe,1,43,2020
Botswana,Africa,Southern Africa,15,303,2010
Brazil,N/S Americas,South America,22,47722,2020
British Virgin Islands,N/S Americas,Caribbean,8,2,2006
Brunei,Asia,South-Eastern Asia,0,2,2013
Bulgaria,Europe,Eastern Europe,1,69,2020
Burkina Faso,Africa,Western Africa,1,240,2017
Burundi,Africa,Eastern Africa,6,635,2016
Cape Verde,Africa,Western Africa,6,36,2020
Cambodia,Asia,South-Eastern Asia,1,268,2011
Cameroon,Africa,Middle Africa,1,341,2017
Canada,N/S Americas,Northern America,2,743,2020
Cayman Islands,N/S Americas,Caribbean,8,5,2014
Central African Republic,Africa,Middle Africa,20,913,2016
Channel Islands,Europe,Northern Europe,0,0,2010
Chile,N/S Americas,South America,4,926,2020
China,Asia,Eastern Asia,0,7525,2018
Colombia,N/S Americas,South America,22,11520,2020
Costa Rica,N/S Americas,Central America,11,570,2020
Croatia,Europe,Southern Europe,1,39,2020
Cuba,N/S Americas,Caribbean,5,572,2016
Curaçao,N/S Americas,Caribbean,19,26,2007
Cyprus,Asia,Western Asia,1,15,2020
Czech Republic,Europe,Eastern Europe,0,77,2020
Denmark,Europe,Northern Europe,1,55,2020
Dominica,N/S Americas,Caribbean,20,15,2020
Dominican Republic,N/S Americas,Caribbean,8,961,2020
Ecuador,N/S Americas,South America,7,1372,2020
Egypt,Africa,Northern Africa,2,2207,2012
El Salvador,N/S Americas,Central America,37,2398,2019
England and Wales,Europe,Northern Europe,1,726,2017
Estonia,Europe,Northern Europe,3,42,2020
Eswatini,Africa,Southern Africa,11,130,2017
Ethiopia,Africa,Eastern Africa,8,8153,2012
Finland,Europe,Northern Europe,1,91,2020
France,Europe,Western Europe,1,879,2020
French Guiana,N/S Americas,South America,13,30,2009
Georgia,Asia,Western Asia,1,77,2019
Germany,Europe,Western Europe,0,782,2020
Ghana,Africa,Western Africa,2,609,2017
Gibraltar,Europe,Southern Europe,3,1,2010
Greece,Europe,Southern Europe,0,78,2020
Greenland,N/S Americas,Northern America,5,3,2016
Grenada,N/S Americas,Caribbean,12,14,2020
Guadeloupe,N/S Americas,Caribbean,5,23,2016
Guatemala,N/S Americas,Central America,17,3129,2020
Guinea-Bissau,Africa,Western Africa,1,21,2017
Guyana,N/S Americas,South America,20,157,2020
Haiti,N/S Americas,Caribbean,6,743,2018
Holy See,Europe,Southern Europe,0,0,2015
Honduras,N/S Americas,Central America,36,3598,2020
Hong Kong,Asia,Eastern Asia,0,22,2020
Hungary,Europe,Eastern Europe,0,80,2020
Iceland,Europe,Northern Europe,1,5,2020
India,Asia,Southern Asia,3,40651,2020
Indonesia,Asia,South-Eastern Asia,0,1150,2018
Iran,Asia,Southern Asia,2,1795,2018
Iraq,Asia,Western Asia,10,3339,2013
Iraq (excluding Kurdistan),Asia,Western Asia,10,3029,2014
Ireland,Europe,Northern Europe,0,34,2020
Isle of Man,Europe,Northern Europe,0,0,2016
Israel,Asia,Western Asia,1,125,2019
Italy,Europe,Southern Europe,0,285,2020
Jamaica,N/S Americas,Caribbean,44,1323,2020
Japan,Asia,Eastern Asia,0,318,2020
Jordan,Asia,Western Asia,1,99,2020
Kazakhstan,Asia,Central Asia,3,606,2020
Kenya,Africa,Eastern Africa,4,2151,2020
Kosovo,Europe,Southern Europe,2,44,2018
Kurdistan Region (Iraq),Asia,Western Asia,2,111,2013
Kuwait,Asia,Western Asia,1,61,2012
Kyrgyzstan,Asia,Central Asia,1,114,2020
Latvia,Europe,Northern Europe,2,49,2020
Lebanon,Asia,Western Asia,1,128,2020
Lesotho,Africa,Southern Africa,43,897,2015
Liberia,Africa,Western Africa,3,135,2012
Liechtenstein,Europe,Western Europe,2,1,2020
Lithuania,Europe,Northern Europe,3,101,2020
Luxembourg,Europe,Western Europe,0,1,2020
Macau,Asia,Eastern Asia,0,2,2020
Malawi,Africa,Eastern Africa,1,279,2012
Malaysia,Asia,South-Eastern Asia,2,627,2013
Maldives,Asia,Southern Asia,0,3,2019
Malta,Europe,Southern Europe,1,7,2020
Martinique,N/S Americas,Caribbean,2,11,2009
Mauritius,Africa,Eastern Africa,2,35,2020
Mayotte,Africa,Eastern Africa,5,12,2009
Mexico,N/S Americas,Central America,28,36579,2020
Monaco,Europe,Western Europe,0,0,2015
Mongolia,Asia,Eastern Asia,6,196,2020
Montenegro,Europe,Southern Europe,2,18,2020
Montserrat,N/S Americas,Caribbean,20,1,2012
Morocco,Africa,Northern Africa,1,487,2020
Mozambique,Africa,Eastern Africa,3,849,2011
Myanmar,Asia,South-Eastern Asia,28,15299,2021
Namibia,Africa,Southern Africa,11,303,2020
Nepal,Asia,Southern Asia,2,627,2016
Netherlands,Europe,Western Europe,0,107,2020
New Zealand,Oceania,"Australia, New Zealand",2,126,2019
Nicaragua,N/S Americas,Central America,7,515,2019
Niger,Africa,Western Africa,4,788,2012
Nigeria,Africa,Western Africa,22,44200,2019
Northern Ireland,Europe,Northern Europe,1,23,2018
Norway,Europe,Northern Europe,0,31,2020
Oman,Asia,Western Asia,0,14,2020
Pakistan,Asia,Southern Asia,3,8490,2020
Panama,N/S Americas,Central America,11,480,2020
Paraguay,N/S Americas,South America,6,481,2020
Peru,N/S Americas,South America,7,2452,2018
Philippines,Asia,South-Eastern Asia,4,4764,2019
Poland,Europe,Eastern Europe,0,268,2020
Portugal,Europe,Southern Europe,0,93,2020
Puerto Rico,N/S Americas,Caribbean,18,529,2020
Qatar,Asia,Western Asia,0,12,2020
South Korea,Asia,Eastern Asia,0,308,2020
Moldova,Europe,Eastern Europe,2,93,2020
North Macedonia,Europe,Southern Europe,1,24,2019
Réunion,Africa,Eastern Africa,1,15,2009
Romania,Europe,Eastern Europe,1,281,2020
Russia,Europe,Eastern Europe,7,10697,2020
Rwanda,Africa,Eastern Africa,2,293,2015
Saint Helena,Africa,Western Africa,0,0,2009
Saint Kitts and Nevis,N/S Americas,Caribbean,18,10,2020
Saint Lucia,N/S Americas,Caribbean,28,52,2020
Saint Martin (French part),N/S Americas,Caribbean,27,10,2016
Saint Pierre and Miquelon,N/S Americas,Northern America,15,1,2009
Saint Vincent and the Grenadines,N/S Americas,Caribbean,17,19,2019
San Marino,Europe,Southern Europe,0,0,2011
São Tomé and Príncipe,Africa,Middle Africa,3,6,2011
Saudi Arabia,Asia,Western Asia,0,285,2019
Scotland,Europe,Northern Europe,1,61,2018
Senegal,Africa,Western Africa,0,39,2015
Serbia,Europe,Southern Europe,1,89,2020
Seychelles,Africa,Eastern Africa,10,10,2019
Sierra Leone,Africa,Western Africa,1,124,2015
Singapore,Asia,South-Eastern Asia,0,10,2020
Slovakia,Europe,Eastern Europe,1,63,2020
Slovenia,Europe,Southern Europe,0,11,2020
South Africa,Africa,Southern Africa,33,19846,2020
South Sudan,Africa,Eastern Africa,14,1504,2012
Spain,Europe,Southern Europe,0,298,2020
Sri Lanka,Asia,Southern Asia,3,742,2019
Palestine,Asia,Western Asia,1,48,2020
Sudan,Africa,Northern Africa,5,1702,2008
Suriname,N/S Americas,South America,9,55,2020
Sweden,Europe,Northern Europe,1,124,2020
Switzerland,Europe,Western Europe,0,47,2020
Syria,Asia,Western Asia,0,149,2018
Taiwan,Asia,Eastern Asia,0,192,2015
Tajikistan,Asia,Central Asia,0,87,2020
Thailand,Asia,South-Eastern Asia,2,1787,2017
East Timor,Asia,South-Eastern Asia,4,49,2015
Trinidad and Tobago,N/S Americas,Caribbean,38,538,2019
Tunisia,Africa,Northern Africa,4,562,2020
Turkey,Asia,Western Asia,2,2095,2020
Turkmenistan,Asia,Central Asia,4,203,2006
Turks and Caicos Islands,N/S Americas,Caribbean,5,2,2014
Uganda,Africa,Eastern Africa,9,4460,2020
Ukraine,Europe,Eastern Europe,6,2751,2017
United Arab Emirates,Asia,Western Asia,0,64,2019
United Kingdom,Europe,Northern Europe,1,755,2018
Tanzania,Africa,Eastern Africa,6,3439,2016
United States,N/S Americas,Northern America,6,21570,2020
U.S. Virgin Islands,N/S Americas,Caribbean,49,52,2012
Uruguay,N/S Americas,South America,9,337,2020
Uzbekistan,Asia,Central Asia,1,396,2019
Venezuela,N/S Americas,South America,36,10598,2018
Vietnam,Asia,South-Eastern Asia,1,1358,2011
Yemen,Asia,Western Asia,6,1703,2013
Zambia,Africa,Eastern Africa,5,853,2015
Zimbabwe,Africa,Eastern Africa,7,981,2012
